Added 6331; Current median 6331; running total 6331
Added 2887; Current median 4864; running total 8036
Added 4101; Current median 4864; running total 2900
Added 8144; Current median 4864; running total 7764
Added 3286; Current median 4864; running total 2628
Added 8759; Current median 4864; running total 7492
Added 3165; Current median 4864; running total 2356
Added 6536; Current median 4864; running total 7220
Added 6726; Current median 4865; running total 2085
Added 2117; Current median 4864; running total 6949
Added 3293; Current median 4864; running total 1813
Added 7769; Current median 4864; running total 6677
Added 9243; Current median 4865; running total 1542
Added 8878; Current median 4865; running total 6407
Added 9122; Current median 4867; running total 1274
Added 1414; Current median 4865; running total 6139
Added 3735; Current median 4865; running total 1004
Added 176; Current median 4864; running total 5868
Added 5554; Current median 4865; running total 733
Added 492; Current median 4864; running total 5597
Added 8108; Current median 4865; running total 462
Added 9391; Current median 4865; running total 5327
Added 2373; Current median 4865; running total 192
Added 8802; Current median 4865; running total 5057
Added 1830; Current median 4865; running total 9922
Added 5163; Current median 4865; running total 4787
Added 5843; Current median 4867; running total 9654
Added 9249; Current median 4867; running total 4521
Added 1758; Current median 4867; running total 9388
Added 6980; Current median 4867; running total 4255
Added 8372; Current median 4868; running total 9123
Added 8507; Current median 4868; running total 3991
Added 4662; Current median 4868; running total 8859
Added 1537; Current median 4867; running total 3726
Added 6012; Current median 4868; running total 8594
Added 7780; Current median 4868; running total 3462
Added 1936; Current median 4868; running total 8330
Added 4680; Current median 4867; running total 3197
Added 6199; Current median 4868; running total 8065
Added 4251; Current median 4867; running total 2932
Added 9701; Current median 4868; running total 7800
Added 2126; Current median 4867; running total 2667
Added 6461; Current median 4868; running total 7535
Added 3198; Current median 4867; running total 2402
Added 6118; Current median 4868; running total 7270
Added 6136; Current median 4868; running total 2138
Added 1113; Current median 4868; running total 7006
Added 3021; Current median 4867; running total 1873
Added 9867; Current median 4868; running total 6741
Added 1807; Current median 4867; running total 1608
Added 2813; Current median 4867; running total 6475
Added 5088; Current median 4867; running total 1342
Added 3131; Current median 4867; running total 6209
Added 4313; Current median 4865; running total 1074
Added 8632; Current median 4867; running total 5941
Added 7757; Current median 4867; running total 808
Added 4316; Current median 4867; running total 5675
Added 2180; Current median 4865; running total 540
Added 8274; Current median 4867; running total 5407
Added 7983; Current median 4867; running total 274
Added 7882; Current median 4868; running total 5142
Added 9632; Current median 4868; running total 10
Added 9458; Current median 4869; running total 4879
Added 7265; Current median 4869; running total 9748
Added 8237; Current median 4870; running total 4618
Added 8710; Current median 4870; running total 9488
Added 195; Current median 4870; running total 4358
Added 9519; Current median 4870; running total 9228
Added 3006; Current median 4870; running total 4098
Added 1582; Current median 4869; running total 8967
Added 8875; Current median 4870; running total 3837
Added 89; Current median 4869; running total 8706
Added 8520; Current median 4870; running total 3576
Added 9560; Current median 4870; running total 8446
Added 3166; Current median 4870; running total 3316
Added 1886; Current median 4869; running total 8185
Added 6485; Current median 4870; running total 3055
Added 5834; Current median 4870; running total 7925
Added 5361; Current median 4872; running total 2797
Added 6520; Current median 4872; running total 7669
Added 9764; Current median 4873; running total 2542
Added 3935; Current median 4872; running total 7414
Added 413; Current median 4872; running total 2286
Added 3100; Current median 4870; running total 7156
Added 7962; Current median 4872; running total 2028
Added 3981; Current median 4870; running total 6898
Added 9147; Current median 4872; running total 1770
Added 9323; Current median 4872; running total 6642
Added 3607; Current median 4872; running total 1514
Added 6218; Current median 4872; running total 6386
Added 9804; Current median 4873; running total 1259
Added 3181; Current median 4872; running total 6131
Added 8753; Current median 4873; running total 1004
Added 9438; Current median 4873; running total 5877
Added 9676; Current median 4874; running total 751
Added 7522; Current median 4874; running total 5625
Added 3186; Current median 4874; running total 499
Added 7743; Current median 4874; running total 5373
Added 1160; Current median 4874; running total 247
Added 9226; Current median 4874; running total 5121
Added 7558; Current median 4877; running total 9998
Added 2664; Current median 4874; running total 4872
Added 9777; Current median 4877; running total 9749
Added 6680; Current median 4877; running total 4626
Added 7672; Current median 4883; running total 9509
Added 8894; Current median 4883; running total 4392
Added 5922; Current median 4884; running total 9276
Added 9281; Current median 4884; running total 4160
Added 6945; Current median 4885; running total 9045
Added 3845; Current median 4884; running total 3929
Added 7095; Current median 4885; running total 8814
Added 2560; Current median 4884; running total 3698
Added 7004; Current median 4885; running total 8583
Added 4900; Current median 4885; running total 3468
Added 3540; Current median 4885; running total 8353
Added 8500; Current median 4885; running total 3238
Added 9786; Current median 4886; running total 8124
Added 3471; Current median 4885; running total 3009
Added 7233; Current median 4886; running total 7895
Added 7577; Current median 4886; running total 2781
Added 8675; Current median 4887; running total 7668
Added 1607; Current median 4886; running total 2554
Added 2786; Current median 4886; running total 7440
Added 2800; Current median 4885; running total 2325
Added 3637; Current median 4885; running total 7210
Added 3439; Current median 4884; running total 2094
Added 7370; Current median 4885; running total 6979
Added 7613; Current median 4885; running total 1864
Added 1371; Current median 4885; running total 6749
Added 9615; Current median 4885; running total 1634
Added 5552; Current median 4886; running total 6520
Added 6909; Current median 4886; running total 1406
Added 3746; Current median 4886; running total 6292
Added 688; Current median 4885; running total 1177
Added 5005; Current median 4886; running total 6063
Added 3893; Current median 4885; running total 948
Added 3531; Current median 4885; running total 5833
Added 9822; Current median 4885; running total 718
Added 8585; Current median 4886; running total 5604
Added 7148; Current median 4886; running total 490
Added 3450; Current median 4886; running total 5376
Added 3613; Current median 4885; running total 261
Added 7368; Current median 4886; running total 5147
Added 7956; Current median 4886; running total 33
Added 1997; Current median 4886; running total 4919
Added 761; Current median 4885; running total 9804
Added 8018; Current median 4886; running total 4690
Added 5171; Current median 4886; running total 9576
Added 9682; Current median 4887; running total 4463
Added 8548; Current median 4887; running total 9350
Added 8942; Current median 4889; running total 4239
Added 935; Current median 4887; running total 9126
Added 3524; Current median 4887; running total 4013
Added 8426; Current median 4887; running total 8900
Added 1948; Current median 4887; running total 3787
Added 5311; Current median 4887; running total 8674
Added 7973; Current median 4889; running total 3563
Added 8657; Current median 4889; running total 8452
Added 1913; Current median 4889; running total 3341
Added 1063; Current median 4887; running total 8228
Added 5749; Current median 4889; running total 3117
Added 7837; Current median 4889; running total 8006
Added 9542; Current median 4891; running total 2897
Added 8671; Current median 4891; running total 7788
Added 9643; Current median 4892; running total 2680
Added 1876; Current median 4891; running total 7571
Added 6830; Current median 4892; running total 2463
Added 5333; Current median 4892; running total 7355
Added 350; Current median 4892; running total 2247
Added 1281; Current median 4891; running total 7138
Added 119; Current median 4891; running total 2029
Added 8022; Current median 4891; running total 6920
Added 9008; Current median 4892; running total 1812
Added 4089; Current median 4891; running total 6703
Added 2730; Current median 4891; running total 1594
Added 6062; Current median 4891; running total 6485
Added 2169; Current median 4891; running total 1376
Added 4518; Current median 4889; running total 6265
Added 6379; Current median 4891; running total 1156
Added 7539; Current median 4891; running total 6047
Added 4077; Current median 4891; running total 938
Added 285; Current median 4889; running total 5827
Added 9823; Current median 4891; running total 718
Added 3511; Current median 4889; running total 5607
Added 401; Current median 4889; running total 496
Added 6050; Current median 4889; running total 5385
Added 131; Current median 4889; running total 274
Added 1506; Current median 4887; running total 5161
Added 4128; Current median 4887; running total 48
Added 4671; Current median 4886; running total 4934
Added 9906; Current median 4887; running total 9821
Added 1134; Current median 4886; running total 4707
Added 2961; Current median 4886; running total 9593
Added 1233; Current median 4885; running total 4478
Added 4982; Current median 4886; running total 9364
Added 4881; Current median 4885; running total 4249
Added 8195; Current median 4886; running total 9135
Added 3909; Current median 4885; running total 4020
Added 271; Current median 4885; running total 8905
Added 5381; Current median 4885; running total 3790
Added 2979; Current median 4885; running total 8675
Added 7084; Current median 4885; running total 3560
Added 1526; Current median 4885; running total 8445
Added 8135; Current median 4885; running total 3330
Added 3692; Current median 4885; running total 8215
Added 2534; Current median 4884; running total 3099
Added 2957; Current median 4884; running total 7983
Added 4895; Current median 4884; running total 2867
Added 3319; Current median 4884; running total 7751
Added 3697; Current median 4883; running total 2634
Added 9589; Current median 4884; running total 7518
Added 2569; Current median 4883; running total 2401
Added 6604; Current median 4884; running total 7285
Added 6250; Current median 4884; running total 2169
Added 4558; Current median 4884; running total 7053
Added 8733; Current median 4884; running total 1937
Added 7799; Current median 4885; running total 6822
Added 2006; Current median 4884; running total 1706
Added 1359; Current median 4884; running total 6590
Added 109; Current median 4883; running total 1473
Added 4617; Current median 4883; running total 6356
Added 8842; Current median 4883; running total 1239
Added 5057; Current median 4884; running total 6123
Added 8033; Current median 4884; running total 1007
Added 9510; Current median 4885; running total 5892
Added 7075; Current median 4885; running total 777
Added 94; Current median 4885; running total 5662
Added 9621; Current median 4885; running total 547
Added 8716; Current median 4886; running total 5433
Added 9601; Current median 4886; running total 319
Added 8153; Current median 4887; running total 5206
Added 9769; Current median 4887; running total 93
Added 8863; Current median 4889; running total 4982
Added 3590; Current median 4887; running total 9869
Added 5128; Current median 4889; running total 4758
Added 681; Current median 4887; running total 9645
Added 9027; Current median 4889; running total 4534
Added 8133; Current median 4889; running total 9423
Added 2954; Current median 4889; running total 4312
Added 1793; Current median 4887; running total 9199
Added 6200; Current median 4889; running total 4088
Added 6633; Current median 4889; running total 8977
Added 1209; Current median 4889; running total 3866
Added 8075; Current median 4889; running total 8755
Added 6157; Current median 4891; running total 3646
Added 8418; Current median 4891; running total 8537
Added 796; Current median 4891; running total 3428
Added 9155; Current median 4891; running total 8319
Added 3045; Current median 4891; running total 3210
Added 5108; Current median 4891; running total 8101
Added 4499; Current median 4891; running total 2992
Added 6925; Current median 4891; running total 7883
Added 5991; Current median 4892; running total 2775
Added 860; Current median 4891; running total 7666
Added 7069; Current median 4892; running total 2558
Added 2847; Current median 4891; running total 7449
Added 4192; Current median 4891; running total 2340
Added 8670; Current median 4891; running total 7231
Added 3022; Current median 4891; running total 2122
Added 2244; Current median 4889; running total 7011
Added 4065; Current median 4889; running total 1900
Added 3896; Current median 4887; running total 6787
Added 8366; Current median 4889; running total 1676
Added 8404; Current median 4889; running total 6565
Added 7821; Current median 4891; running total 1456
Added 2326; Current median 4889; running total 6345
Added 6919; Current median 4891; running total 1236
Added 9250; Current median 4891; running total 6127
Added 9567; Current median 4892; running total 1019
Added 1351; Current median 4891; running total 5910
Added 7721; Current median 4892; running total 802
Added 5389; Current median 4892; running total 5694
Added 9016; Current median 4893; running total 587
Added 9264; Current median 4893; running total 5480
Added 9735; Current median 4895; running total 375
Added 2494; Current median 4893; running total 5268
Added 1562; Current median 4893; running total 161
Added 303; Current median 4892; running total 5053
Added 6480; Current median 4893; running total 9946
Added 9652; Current median 4893; running total 4839
Added 1456; Current median 4893; running total 9732
Added 6294; Current median 4893; running total 4625
Added 8767; Current median 4895; running total 9520
Added 7596; Current median 4895; running total 4415
Added 2718; Current median 4895; running total 9310
Added 1133; Current median 4893; running total 4203
Added 1228; Current median 4893; running total 9096
Added 7398; Current median 4893; running total 3989
Added 8437; Current median 4895; running total 8884
Added 7585; Current median 4895; running total 3779
Added 5728; Current median 4896; running total 8675
Added 6738; Current median 4896; running total 3571
Added 8535; Current median 4898; running total 8469
Added 3075; Current median 4896; running total 3365
Added 9696; Current median 4898; running total 8263
Added 8522; Current median 4898; running total 3161
Added 3812; Current median 4898; running total 8059
Added 6961; Current median 4898; running total 2957
Added 7305; Current median 4899; running total 7856
Added 5837; Current median 4899; running total 2755
Added 8744; Current median 4900; running total 7655
Added 5350; Current median 4900; running total 2555
Added 8629; Current median 4901; running total 7456
Added 555; Current median 4900; running total 2356
Added 3421; Current median 4900; running total 7256
Added 2744; Current median 4899; running total 2155
Added 4858; Current median 4899; running total 7054
Added 1115; Current median 4898; running total 1952
Added 5403; Current median 4899; running total 6851
Added 8528; Current median 4899; running total 1750
Added 361; Current median 4899; running total 6649
Added 6807; Current median 4899; running total 1548
Added 7937; Current median 4900; running total 6448
Added 9836; Current median 4900; running total 1348
Added 335; Current median 4900; running total 6248
Added 1350; Current median 4899; running total 1147
Added 233; Current median 4899; running total 6046
Added 4903; Current median 4899; running total 945
Added 3603; Current median 4899; running total 5844
Added 9723; Current median 4899; running total 743
Added 8267; Current median 4900; running total 5643
Added 1888; Current median 4899; running total 542
Added 4390; Current median 4899; running total 5441
Added 2643; Current median 4898; running total 339
Added 619; Current median 4898; running total 5237
Added 8545; Current median 4898; running total 135
Added 316; Current median 4898; running total 5033
Added 9694; Current median 4898; running total 9931
Added 7375; Current median 4899; running total 4830
Added 2922; Current median 4898; running total 9728
Added 7706; Current median 4899; running total 4627
Added 7774; Current median 4899; running total 9526
Added 6006; Current median 4900; running total 4426
Added 8553; Current median 4900; running total 9326
Added 4136; Current median 4900; running total 4226
Added 7419; Current median 4900; running total 9126
Added 4138; Current median 4900; running total 4026
Added 3203; Current median 4899; running total 8925
Added 2159; Current median 4899; running total 3824
Added 268; Current median 4898; running total 8722
Added 1986; Current median 4898; running total 3620
Added 5431; Current median 4898; running total 8518
Added 6; Current median 4898; running total 3416
Added 5918; Current median 4898; running total 8314
Added 8932; Current median 4899; running total 3213
Added 9558; Current median 4899; running total 8112
Added 4001; Current median 4899; running total 3011
Added 7237; Current median 4899; running total 7910
Added 4656; Current median 4899; running total 2809
Added 6065; Current median 4899; running total 7708
Added 6040; Current median 4900; running total 2608
Added 6754; Current median 4900; running total 7508
Added 7219; Current median 4901; running total 2409
Added 1496; Current median 4900; running total 7309
Added 7229; Current median 4901; running total 2210
Added 4199; Current median 4900; running total 7110
Added 1004; Current median 4900; running total 2010
Added 6725; Current median 4900; running total 6910
Added 7347; Current median 4901; running total 1811
Added 5756; Current median 4901; running total 6712
Added 2151; Current median 4901; running total 1613
Added 6753; Current median 4901; running total 6514
Added 4066; Current median 4901; running total 1415
Added 1937; Current median 4900; running total 6315
Added 3728; Current median 4900; running total 1215
Added 6929; Current median 4900; running total 6115
Added 6022; Current median 4901; running total 1016
Added 1067; Current median 4900; running total 5916
Added 6276; Current median 4901; running total 817
Added 1983; Current median 4900; running total 5717
Added 2850; Current median 4900; running total 617
Added 9758; Current median 4900; running total 5517
Added 1910; Current median 4900; running total 417
Added 6159; Current median 4900; running total 5317
Added 1054; Current median 4900; running total 217
Added 8478; Current median 4900; running total 5117
Added 8540; Current median 4901; running total 18
Added 905; Current median 4900; running total 4918
Added 9463; Current median 4901; running total 9819
Added 2810; Current median 4900; running total 4719
Added 693; Current median 4900; running total 9619
Added 284; Current median 4899; running total 4518
Added 7835; Current median 4900; running total 9418
Added 7890; Current median 4900; running total 4318
Added 8360; Current median 4901; running total 9219
Added 1016; Current median 4900; running total 4119
Added 3084; Current median 4900; running total 9019
Added 7514; Current median 4900; running total 3919
Added 2421; Current median 4900; running total 8819
Added 4520; Current median 4899; running total 3718
Added 8118; Current median 4900; running total 8618
Added 9646; Current median 4900; running total 3518
Added 7573; Current median 4901; running total 8419
Added 7220; Current median 4901; running total 3320
Added 8739; Current median 4903; running total 8223
Added 2601; Current median 4901; running total 3124
Added 411; Current median 4901; running total 8025
Added 5455; Current median 4901; running total 2926
Added 699; Current median 4901; running total 7827
Added 5849; Current median 4901; running total 2728
Added 5036; Current median 4903; running total 7631
Added 4961; Current median 4903; running total 2534
Added 8109; Current median 4904; running total 7438
Added 9976; Current median 4904; running total 2342
Added 4595; Current median 4904; running total 7246
Added 9099; Current median 4904; running total 2150
Added 2912; Current median 4904; running total 7054
Added 5745; Current median 4904; running total 1958
Added 3168; Current median 4904; running total 6862
Added 1497; Current median 4903; running total 1765
Added 4300; Current median 4903; running total 6668
Added 7012; Current median 4903; running total 1571
Added 6119; Current median 4904; running total 6475
Added 9201; Current median 4904; running total 1379
Added 1544; Current median 4904; running total 6283
Added 1883; Current median 4903; running total 1186
Added 3790; Current median 4903; running total 6089
Added 9698; Current median 4903; running total 992
Added 7519; Current median 4904; running total 5896
Added 6602; Current median 4904; running total 800
Added 6385; Current median 4905; running total 5705
Added 2370; Current median 4904; running total 609
Added 5916; Current median 4905; running total 5514
Added 1084; Current median 4904; running total 418
Added 1164; Current median 4904; running total 5322
Added 7432; Current median 4904; running total 226
Added 8630; Current median 4905; running total 5131
Added 1959; Current median 4904; running total 35
Added 6433; Current median 4905; running total 4940
Added 5053; Current median 4905; running total 9845
Added 676; Current median 4905; running total 4750
Added 6903; Current median 4905; running total 9655
Added 294; Current median 4905; running total 4560
Added 2788; Current median 4904; running total 9464
Added 7440; Current median 4905; running total 4369
Added 8917; Current median 4905; running total 9274
Added 2128; Current median 4905; running total 4179
Added 3902; Current median 4904; running total 9083
Added 3158; Current median 4904; running total 3987
Added 8026; Current median 4904; running total 8891
Added 4189; Current median 4904; running total 3795
Added 4687; Current median 4903; running total 8698
Added 6840; Current median 4904; running total 3602
Added 5338; Current median 4904; running total 8506
Added 2898; Current median 4904; running total 3410
Added 5332; Current median 4904; running total 8314
Added 6318; Current median 4905; running total 3219
Added 8273; Current median 4905; running total 8124
Added 1800; Current median 4905; running total 3029
Added 5547; Current median 4905; running total 7934
Added 7038; Current median 4906; running total 2840
Added 6958; Current median 4906; running total 7746
Added 6051; Current median 4907; running total 2653
Added 764; Current median 4906; running total 7559
Added 2637; Current median 4906; running total 2465
Added 8090; Current median 4906; running total 7371
Added 1831; Current median 4906; running total 2277
Added 3729; Current median 4905; running total 7182
Added 8117; Current median 4906; running total 2088
Added 3645; Current median 4905; running total 6993
Added 9301; Current median 4906; running total 1899
Added 3500; Current median 4905; running total 6804
Added 722; Current median 4905; running total 1709
Added 8282; Current median 4905; running total 6614
Added 6525; Current median 4906; running total 1520
Added 8091; Current median 4906; running total 6426
Added 6530; Current median 4907; running total 1333
Added 5616; Current median 4907; running total 6240
Added 433; Current median 4907; running total 1147
Added 8296; Current median 4907; running total 6054
Added 19; Current median 4907; running total 961
Added 6812; Current median 4907; running total 5868
Added 4921; Current median 4908; running total 776
Added 8385; Current median 4908; running total 5684
Added 4930; Current median 4909; running total 593
Added 6759; Current median 4909; running total 5502
Added 1344; Current median 4909; running total 411
Added 6367; Current median 4909; running total 5320
Added 5959; Current median 4910; running total 230
Added 8242; Current median 4910; running total 5140
Added 2337; Current median 4910; running total 50
Added 9583; Current median 4910; running total 4960
Added 3036; Current median 4910; running total 9870
Added 3445; Current median 4909; running total 4779
Added 3261; Current median 4909; running total 9688
Added 2639; Current median 4908; running total 4596
Added 6667; Current median 4909; running total 9505
Added 2065; Current median 4908; running total 4413
Added 5750; Current median 4909; running total 9322
Added 9969; Current median 4909; running total 4231
Added 1954; Current median 4909; running total 9140
Added 9584; Current median 4909; running total 4049
Added 4475; Current median 4909; running total 8958
Added 8152; Current median 4909; running total 3867
Added 7026; Current median 4910; running total 8777
Added 2205; Current median 4909; running total 3686
Added 9141; Current median 4910; running total 8596
Added 6694; Current median 4910; running total 3506
Added 6699; Current median 4911; running total 8417
Added 6210; Current median 4911; running total 3328
Added 8080; Current median 4913; running total 8241
Added 2071; Current median 4911; running total 3152
Added 56; Current median 4911; running total 8063
Added 3625; Current median 4910; running total 2973
Added 852; Current median 4910; running total 7883
Added 7423; Current median 4910; running total 2793
Added 1303; Current median 4910; running total 7703
Added 9577; Current median 4910; running total 2613
Added 4211; Current median 4910; running total 7523
Added 1796; Current median 4909; running total 2432
Added 3318; Current median 4909; running total 7341
Added 1277; Current median 4908; running total 2249
Added 2385; Current median 4908; running total 7157
Added 7756; Current median 4908; running total 2065
Added 6905; Current median 4909; running total 6974
Added 7944; Current median 4909; running total 1883
Added 8838; Current median 4910; running total 6793
Added 9293; Current median 4910; running total 1703
Added 3550; Current median 4910; running total 6613
Added 9864; Current median 4910; running total 1523
Added 9434; Current median 4911; running total 6434
Added 6510; Current median 4911; running total 1345
Added 9092; Current median 4913; running total 6258
Added 4565; Current median 4911; running total 1169
Added 1376; Current median 4911; running total 6080
Added 5614; Current median 4911; running total 991
Added 1127; Current median 4911; running total 5902
Added 3423; Current median 4910; running total 812
Added 5955; Current median 4911; running total 5723
Added 7333; Current median 4911; running total 634
Added 2443; Current median 4911; running total 5545
Added 8161; Current median 4911; running total 456
Added 1693; Current median 4911; running total 5367
Added 2966; Current median 4910; running total 277
Added 1710; Current median 4910; running total 5187
Added 1791; Current median 4909; running total 96
Added 178; Current median 4909; running total 5005
Added 9537; Current median 4909; running total 9914
Added 1048; Current median 4909; running total 4823
Added 4593; Current median 4908; running total 9731
Added 508; Current median 4908; running total 4639
Added 138; Current median 4907; running total 9546
Added 6079; Current median 4908; running total 4454
Added 3763; Current median 4907; running total 9361
Added 310; Current median 4907; running total 4268
Added 7238; Current median 4907; running total 9175
Added 5726; Current median 4908; running total 4083
Added 424; Current median 4907; running total 8990
Added 547; Current median 4907; running total 3897
Added 9363; Current median 4907; running total 8804
Added 8420; Current median 4908; running total 3712
Added 6236; Current median 4908; running total 8620
Added 9608; Current median 4909; running total 3529
Added 3246; Current median 4908; running total 8437
Added 8247; Current median 4909; running total 3346
Added 2507; Current median 4908; running total 8254
Added 4834; Current median 4908; running total 3162
Added 6387; Current median 4908; running total 8070
Added 3674; Current median 4908; running total 2978
Added 7314; Current median 4908; running total 7886
Added 1759; Current median 4908; running total 2794
Added 9950; Current median 4908; running total 7702
Added 8728; Current median 4909; running total 2611
Added 8515; Current median 4909; running total 7520
Added 3086; Current median 4909; running total 2429
Added 3657; Current median 4908; running total 7337
Added 756; Current median 4908; running total 2245
Added 9683; Current median 4908; running total 7153
Added 1147; Current median 4908; running total 2061
Added 2168; Current median 4907; running total 6968
Added 8497; Current median 4908; running total 1876
Added 6858; Current median 4908; running total 6784
Added 9820; Current median 4909; running total 1693
Added 5242; Current median 4909; running total 6602
Added 8241; Current median 4910; running total 1512
Added 3129; Current median 4909; running total 6421
Added 3615; Current median 4909; running total 1330
Added 8925; Current median 4909; running total 6239
Added 1532; Current median 4909; running total 1148
Added 2651; Current median 4908; running total 6056
Added 2160; Current median 4908; running total 964
Added 8123; Current median 4908; running total 5872
Added 8683; Current median 4909; running total 781
Added 6538; Current median 4909; running total 5690
Added 1290; Current median 4909; running total 599
Added 7803; Current median 4909; running total 5508
Added 8566; Current median 4910; running total 418
Added 8845; Current median 4910; running total 5328
Added 4269; Current median 4910; running total 238
Added 5733; Current median 4910; running total 5148
Added 8031; Current median 4911; running total 59
Added 1416; Current median 4910; running total 4969
Added 9784; Current median 4911; running total 9880
Added 9992; Current median 4911; running total 4791
Added 344; Current median 4911; running total 9702
Added 1580; Current median 4910; running total 4612
Added 3329; Current median 4910; running total 9522
Added 9566; Current median 4910; running total 4432
Added 6996; Current median 4911; running total 9343
Added 3324; Current median 4910; running total 4253
Added 5081; Current median 4911; running total 9164
Added 7889; Current median 4911; running total 4075
Added 9517; Current median 4913; running total 8988
Added 8147; Current median 4913; running total 3901
Added 9031; Current median 4914; running total 8815
Added 7751; Current median 4914; running total 3729
Added 8777; Current median 4915; running total 8644
Added 7377; Current median 4915; running total 3559
Added 2928; Current median 4915; running total 8474
Added 6277; Current median 4915; running total 3389
Added 6842; Current median 4916; running total 8305
Added 6912; Current median 4916; running total 3221
Added 8083; Current median 4918; running total 8139
Added 4062; Current median 4916; running total 3055
Added 1512; Current median 4916; running total 7971
Added 155; Current median 4915; running total 2886
Added 4779; Current median 4915; running total 7801
Added 8700; Current median 4915; running total 2716
Added 7281; Current median 4916; running total 7632
Added 4838; Current median 4915; running total 2547
Added 8791; Current median 4916; running total 7463
Added 4118; Current median 4915; running total 2378
Added 3600; Current median 4915; running total 7293
Added 5652; Current median 4915; running total 2208
Added 5672; Current median 4916; running total 7124
Added 4542; Current median 4915; running total 2039
Added 938; Current median 4915; running total 6954
Added 6971; Current median 4915; running total 1869
Added 6587; Current median 4916; running total 6785
Added 3649; Current median 4915; running total 1700
Added 5674; Current median 4916; running total 6616
Added 198; Current median 4915; running total 1531
Added 1551; Current median 4915; running total 6446
Added 9350; Current median 4915; running total 1361
Added 464; Current median 4915; running total 6276
Added 7587; Current median 4915; running total 1191
Added 1437; Current median 4915; running total 6106
Added 4739; Current median 4914; running total 1020
Added 9165; Current median 4915; running total 5935
Added 3459; Current median 4914; running total 849
Added 844; Current median 4914; running total 5763
Added 1443; Current median 4913; running total 676
Added 1723; Current median 4913; running total 5589
Added 7167; Current median 4913; running total 502
Added 2042; Current median 4913; running total 5415
Added 8100; Current median 4913; running total 328
Added 2817; Current median 4913; running total 5241
Added 9816; Current median 4913; running total 154
Added 2105; Current median 4913; running total 5067
Added 6465; Current median 4913; running total 9980
Added 8186; Current median 4914; running total 4894
Added 896; Current median 4913; running total 9807
Added 6818; Current median 4914; running total 4721
Added 9741; Current median 4914; running total 9635
Added 6691; Current median 4915; running total 4550
Added 7936; Current median 4915; running total 9465
Added 8137; Current median 4916; running total 4381
Added 5883; Current median 4916; running total 9297
Added 3588; Current median 4916; running total 4213
Added 5727; Current median 4916; running total 9129
Added 5070; Current median 4918; running total 4047
Added 7954; Current median 4918; running total 8965
Added 4974; Current median 4920; running total 3885
Added 9342; Current median 4920; running total 8805
Added 5243; Current median 4921; running total 3726
Added 3253; Current median 4920; running total 8646
Added 3694; Current median 4920; running total 3566
Added 6517; Current median 4920; running total 8486
Added 5410; Current median 4921; running total 3407
Added 9013; Current median 4921; running total 8328
Added 3406; Current median 4921; running total 3249
Added 2701; Current median 4920; running total 8169
Added 1073; Current median 4920; running total 3089
Added 3462; Current median 4918; running total 8007
Added 6175; Current median 4920; running total 2927
Added 8209; Current median 4920; running total 7847
Added 1665; Current median 4920; running total 2767
Added 8328; Current median 4920; running total 7687
Added 5697; Current median 4921; running total 2608
Added 8134; Current median 4921; running total 7529
Added 6685; Current median 4922; running total 2451
Added 4090; Current median 4921; running total 7372
Added 703; Current median 4921; running total 2293
Added 7993; Current median 4921; running total 7214
Added 776; Current median 4921; running total 2135
Added 3761; Current median 4920; running total 7055
Added 9944; Current median 4921; running total 1976
Added 8642; Current median 4921; running total 6897
Added 5938; Current median 4922; running total 1819
Added 967; Current median 4921; running total 6740
Added 7871; Current median 4922; running total 1662
Added 550; Current median 4921; running total 6583
Added 9605; Current median 4922; running total 1505
Added 8474; Current median 4922; running total 6427
Added 5383; Current median 4923; running total 1350
Added 6917; Current median 4923; running total 6273
Added 8682; Current median 4925; running total 1198
Added 2255; Current median 4923; running total 6121
Added 8977; Current median 4925; running total 1046
Added 3704; Current median 4923; running total 5969
Added 602; Current median 4923; running total 892
Added 7; Current median 4922; running total 5814
Added 8922; Current median 4923; running total 737
Added 5805; Current median 4923; running total 5660
Added 5998; Current median 4925; running total 585
Added 1276; Current median 4923; running total 5508
Added 1630; Current median 4923; running total 431
Added 825; Current median 4922; running total 5353
Added 9433; Current median 4923; running total 276
Added 8302; Current median 4923; running total 5199
Added 931; Current median 4923; running total 122
Added 8822; Current median 4923; running total 5045
Added 2862; Current median 4923; running total 9968
Added 7570; Current median 4923; running total 4891
Added 627; Current median 4923; running total 9814
Added 6452; Current median 4923; running total 4737
Added 6844; Current median 4925; running total 9662
Added 7711; Current median 4925; running total 4587
Added 5615; Current median 4926; running total 9513
Added 2101; Current median 4925; running total 4438
Added 8430; Current median 4926; running total 9364
Added 881; Current median 4925; running total 4289
Added 3882; Current median 4925; running total 9214
Added 5596; Current median 4925; running total 4139
Added 7969; Current median 4926; running total 9065
Added 7175; Current median 4926; running total 3991
Added 2600; Current median 4926; running total 8917
Added 9704; Current median 4926; running total 3843
Added 5699; Current median 4928; running total 8771
Added 2231; Current median 4926; running total 3697
Added 5408; Current median 4928; running total 8625
Added 154; Current median 4926; running total 3551
Added 7371; Current median 4928; running total 8479
Added 4842; Current median 4926; running total 3405
Added 8043; Current median 4928; running total 8333
Added 436; Current median 4926; running total 3259
Added 7207; Current median 4928; running total 8187
Added 6249; Current median 4928; running total 3115
Added 7975; Current median 4929; running total 8044
Added 7595; Current median 4929; running total 2973
Added 3197; Current median 4929; running total 7902
Added 5080; Current median 4929; running total 2831
Added 8082; Current median 4930; running total 7761
Added 670; Current median 4929; running total 2690
